Business name,Alumni,Motivation,Postings,Unemployment Eligible,Address (web or physical),Job Title,Contact,Closed,Submitted,Phone Interview,2nd Interview,3rd Interview,4th Interview,Offer date,Offer amount,Benefits
Podium,,,3,N,https://boards.greenhouse.io/embed/job_app?token=1980062&gh_src=8b0de3d81,Engineering Manager,,2020-01-15,2020-01-09,,,,,,,
Podium,,,3,N,,Engineering Manager,,2019-11-22,2019-11-22,,,,,,,
Pluralsight,Y,2,,N,https://jobs.smartrecruiters.com/Pluralsight/743999701108534,Director of Tech Leader Experiences - Analytics,,2020-01-16,2020-01-13,,,,,,,
Pluralsight,Y,2,,N,https://jobs.smartrecruiters.com/Pluralsight/743999703936009,"Team Manager, Learner Products",,,2020-01-13,2020-02-10,2020-02-18,,,,,
Plaid,,,,N,https://jobs.lever.co/plaid/06cba5f6-f240-4bad-850f-8b2b998e5abb/,Engineering Manager,,,2020-01-06,2020-01-16,,,,,,
Plaid,N,2,,N,,Software Development Manager,,,2019-10-29,,,,,,,
Owlet,,,,N,https://owletbabycare.applytojob.com/apply/job_20191209214733_DEWYOT0IVPQA0LEE/Director-Of-Project-Management?source=DIREC&utm_source=ziprecruiter,Director of Project Management,,2020-01-28,2020-01-20,,,,,,,
Overstock,Y,2,2,Y,https://overstock.wd5.myworkdayjobs.com/Overstock_Careers/job/Midvale-Utah/Manager-of-Data-Science_R0003655?source=Linkedin,Manager of Data Science,,,2020-02-24,,,,,,,
NiceInContact,,,3,Y,https://www.nice.com/careers/upload-resume/Manager-Engineering-oJ7VbfwG-1,Manager Engineering,Tyler Ray,,2020-02-24,,,,,,,
NiceInContact,,,3,N,https://jobs.jobvite.com/incontact/job/oqCUbfwR/apply,Manager Engineering,,,2020-01-31,,,,,,,
Navigator ,,,3,N,,Director of Software Development,,,2019-11-15,,,,,,,
Navigator ,,,3,N,,Director of Engineering,,2019-12-09,2019-12-04,,,,,,,
Nav,,2,3,N,,Manager of Data Analytics,,2019-11-20,2019-11-20,,,,,,,
Myriad,N,1,3,N,https://careers-myriad.icims.com/jobs/9559/ordering-engineering-manager/job?mobile=false&width=1271&height=500&bga=true&needsRedirect=false&jan1offset=-420&jun1offset=-360,Ordering Engineering Manager,,,2020-02-20,,,,,,,
MX,Y,3,3,N,,Product Development Manager,,,2019-11-06,,,,,,,
MatrizCX,Y,2,3,N,,IT Leader,,,2019-11-19,,,,,,,
McCann/WorldGroup,,,,N,https://mrm-mccann.com/careers/us/utah/salt-lake-city/8829.html,Director of Technology,,,2020-01-17,,,,,,,
Maverick,,,,N,https://recruiting2.ultipro.com/FJM1000FJM/JobBoard/055a229d-8a21-4609-8f8b-2f71b1d35b2e/OpportunityDetail?opportunityId=81342eba-47b4-4322-85fa-41efaede85ef,Manager Application Development,,,2020-02-19,,,,,,,
MasterControl,,,3,N,https://mastercontrol.applicantpro.com/jobs/1300114.html,Software Delivery Manager,,,2020-01-09,,,,,,,
MasterControl,,2,3,N,,Software Delivery Manager,,2019-11-22,2019-11-22,2019-12-02,,,,,,
Lucid,,,3,N,https://jobs.lever.co/golucid/f09acbab-4421-41d4-af12-e14a241153d8/apply,Strategy and Analytics Manager,,2020-02-08,2020-02-05,,,,,,,
Lucid,,2,3,N,,Strategy and Analytics Manager,,2019-11-07,2019-11-07,,,,,,,
Lendio,Y,,3,N,,Software Development Manager,,2019-11-20,2019-11-20,,,,,,,
KLAS Research,Y,3,2,N,"Personal contact: Taylor Davis, taylor.davis@klasresearch.com",Director of Research,,,2020-02-08,2020-02-19,,,,,,
Kforce,,,,N,https://www.kforce.com/Jobs/1696~WQG~1857728P1~99/ApplyOnline/,Director of Software Engineering,,,2019-12-11,,,,,,,
Jolt,N,1,,N,,Software Development Manager,,2019-10-28,2019-10-14,2019-10-28,,,,,,
Ivanti,N,2,3,N,https://www.ivanti.com/company/careers/job?gnk=job&gni=8a78839e6eaa3a59016ec8fb1bf207b7&gns=LinkedIn,"Senior Director, Software Engineering",,,2019-12-16,,,,,,,
Intermountain HealthCare,N,2,2,N,https://jobs.intermountainhealthcare.org/res_viewjob.html?optlink-view=view-465629&ERFormID=res_newjoblist&ERFormCode=any,Director of Analytics Program/Project Management,,,2020-02-06,,,,,,,
Inside Real Estate,,,3,N,,Director of Internal Systems,,,2019-11-17,,,,,,,
Infinity Consulting Services,,1,,N,https://www.linkedin.com/jobs/view/1633917943/?,Software Development Manager,,,2019-12-30,,,,,,,
Imagine Learning,,,,N,https://www.ziprecruiter.com/jobs/imagine-learning-3fc5ca22/vice-president-of-product-management-general-manager-e6a1d8cb?jid=DQd43bb234e00fc54fe6885cc76e511099&job_id=2e433611333980c7012bcb73465f60b7&mid=5&contact_id=4eca084b&auth_token=_v3_a733f5de785844e47af70e48ceb247b81fd233b9a88573d82a22049d10da8350&expires=1579545264,Vice President of Product Management & General Manager,,,2020-01-20,,,,,,,
Hoverstate,N,2,3,N,http://hoverstate.applytojob.com/apply/Ene0aP2pvo/Software-Development-Manager,Software Development Manager,,,2019-12-11,,,,,,,
Heroic Cybersecurity,,,2,Y,https://careers.heroic.com/manager-it-implementation-23052/,"Manager, IT Implementation",,,2020-02-27,,,,,,,
Henry Schein,,2,3,N,,"Director, Software Development",,,2019-10-22,,,,,,,
Henry Schein,,2,3,N,,"Associate Manager, Software Development",,,2019-10-31,,2019-11-14,2019-12-03,,,,
Health Equity,,,,N,https://careers-healthequity.icims.com/jobs/1989/software-development-manager/job,Software Development Manager,,2020-02-07,2019-11-13,2020-01-14,,,,,,
Health Catalyst,Y,2,3,N,https://healthcatalyst.wd5.myworkdayjobs.com/en-US/healthcatalystcareers/job/US-Remote/Software-Engineering-Director_REQ-251,"Senior Director, Software Engineering",,2020-01-06,2019-12-17,2019-12-30,,,,,,
Fitbit,,,3,N,https://boards.greenhouse.io/fitbit92/jobs/1999008?gh_src=ee3102621#app,"Manager, Analyitcs",,2020-02-06,2020-02-04,,,,,,,
Fidelity,Y,2,3,N,,Director of Architecture,,2019-11-20,2019-11-20,,,,,,,
Google,,2,,,,,,,,,,,,,,
Galileo,,,,N,,Software Development Manager,,2019-12-27,2019-10-06,,,,,,,
GitLab,,3,3,N,https://boards.greenhouse.io/gitlab/jobs/4554820002#app,"Engineering Manager, Telemetry",,2020-02-24,2020-01-27,2020-02-05,2020-02-18,,,,,
GitLab,,2,3,N,,"Engineering Manager, Defend",,2019-11-13,2019-11-13,,,,,,,
Entrata,Y,3,,N,,Director of Reporting,,2019-12-09,2019-10-11,2019-10-16,2019-10-23,,,,,
Endurance International Group,N,1,3,N,https://www.linkedin.com/jobs/view/1733992164/?alternateChannel=jymbii,Manager of Software Engineering,,2020-02-24,2020-02-21,,,,,,,
DigitalHarbor,,,,N,"Personal contact: Preston Johnson, email: preston.johnson@rht.com",Software Delivery Manager,,,2020-02-19,,,,,,,
Degreed,,2,2,N,https://jobs.lever.co/degreed/19b5a6b6-dc6e-49de-bff7-beeeda1d4630/apply,Product Manager - Reporting,,,2020-01-20,2020-02-12,,,,,,
CyberCoders,,,,N,https://www.ziprecruiter.com/jobs/cybercoders-fc313650/technical-project-manager-esports-and-gaming-575ef74c?job_id=0b248c0236658acfe28bee616b6afff0,Technical Project Manager - Esports and Gaming,,,2020-01-10,,,,,,,
Cvent,N,2,3,N,https://www.linkedin.com/job-apply/1557416024,"Manager, Software Engineering",,,2020-02-10,,,,,,,
crunch.io,Y,3,3,N,,Software Project Manager,,2019-10-28,2019-10-23,2019-10-23,2019-10-23,2019-10-28,,,,
Crowdskout,,,,N,https://boards.greenhouse.io/crowdskout/jobs/4596013002?gh_src=10b13bd12#app,Director of Applications,,2020-02-10,2020-01-25,,,,,,,
Cox,,,,N,https://ats.coxenterprises.com/apply/questionnaire?section=cox_externalcareers&job=200494&tnfUrl=https:%2F%2Fwww.applytracking.com%2Ftp%2Fpi4.8l0-gcEA_y_K.J%3Fsrc%3DSNS-11360&tnfCategory=Information%20Technology&division=cox-automotive&jobLevel=Manager%2FSenior%20Manager&state=UT&location=Draper--UT-US&src=SNS-11360,Mgr Software Engineering,,,2020-01-17,,,,,,,
Cotapaxi,,3,,,,,,,,,,,,,,
Collective Health,,,3,Y,https://collectivehealth.com/jobs/apply/2097836/,Director of Implementation Services,,,2020-02-27,,,,,,,
Cleo,,,,N,https://jobs.lever.co/cleo/fa7ff772-ef66-43ce-ac35-e57f4f409ab5/apply,Technical Project Manager,,2019-12-31,2019-12-28,,,,,,,
Cricut,,,,Y,https://jobs.smartrecruiters.com/oneclick-ui/company/59715607/job/1533527322/publication/743999695128515,Senior Software Program Manager,,,2020-02-24,,,,,,,
Canopy Tax,,,,N,https://canopytax.applytojob.com/apply/job_20191126042046_RM2Z3O50GJGDAXFJ/Manager-Of-Business-Intelligence-And-Operations?source=DIREC,Director of FP&A,,2020-01-14,2019-12-12,,,,,,,
BYU-Idaho,,,3,N,,Finance Fulltime Faculty,,2020-01-15,2019-11-11,,,,,,,
BYU,,,,N,https://hrms.byu.edu/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_EMP.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Employee&SiteId=60&JobOpeningId=88813&PostingSeq=1,Business Intelligence Engineer,,,2020-01-21,,,,,,,
BYU,Y,3,,N,https://hrms.byu.edu/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_EMP.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Employee&SiteId=60&JobOpeningId=89151&PostingSeq=1,OIT Software Developer,,2020-02-19,2020-01-28,,,,,,,
BYU,Y,3,,N,,Software Developer,,,2019-11-18,,,,,,,
Bridge ,,,,N,https://careers-bridgeig.icims.com/jobs/2323/director%252c-enterprise-software-%2526-data-management/job?mode=job&iis=Job+Board&iisn=LinkedIn&mobile=false&width=1090&height=500&bga=true&needsRedirect=false&jan1offset=-420&jun1offset=-360,"Director, Enterprise Software & Data Management",,,2020-02-10,,,,,,,
Breeze Aviation Group,,,,N,https://jobs.flybreeze.com/,Open Application,,,2020-01-24,,,,,,,
Blue Raven Solar,Y,2,3,N,,Director of Business Intelligence,,,2019-11-04,,,,,,,
Biofire,,,,N,https://jobs.jobvite.com/biofiredx/job/oXZvbfwm,Manager of Software Development,,2019-12-16,2019-12-11,,,,,,,
Berkadia,,,3,N,,Sr Software Engineering Manager,,,2019-11-15,,,,,,,
BambooHR,Y,2,,N,"Personal contact: Dan Reno, dreno@bamboohr.com",Open Application,,,2020-02-10,,,,,,,
Ancestry,Y,2,,N,,"Engineering Manager, Web",,2019-11-20,2019-11-20,,,,,,,
Ancestry,Y,2,,N,,"Engineering Manager, MarTech",,2019-10-22,2019-10-22,,,,,,,
Amazon,,2,2,N,https://account.amazon.jobs/en-US/jobs/784401/apply?dclid=CPCC8sq1veYCFYIcPwodH3oCUw&ss=paid&utm_campaign=cxro&utm_content=job_posting&utm_medium=niche_site&utm_source=localjobnetwork.com,Sr Cloud Application Architect,,2019-12-24,2019-12-17,,,,,,,
Amazon,Y,2,2,N,https://www.amazon.jobs/en/jobs/1020762/it-manager,IT Manager,,2020-01-02,2019-12-28,,,,,,,
AgReserves,N,1,3,N,https://www.linkedin.com/jobs/view/1704334498/,Software Development Manager,,,2020-02-10,,,,,,,
Adobe,Y,2,3,N,https://www.linkedin.com/jobs/view/1727430993/,"Engineering Manager, Adobe Analytics",,,2020-02-11,,,,,,,
Abstract,N,2,3,N,https://www.linkedin.com/jobs/view/1718394186/?midToken=AQFtRtOri35vGA&trk=eml-jobs_applicant_applied-applied_jobs-13-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-13-applied_job-null-1ggpo%7Ek6cwtgrw%7E3q-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3Bn4gkQ0TUS0%2Bouk5R%2BwPlnw%3D%3D,Engineering Manager (Early/Mid Level),,,2020-02-07,,,,,,,
1800Contacts,,,2,N,https://www.1800contacts.com/job-listing?gh_jid=1899416,Head of Data,,2020-02-08,2020-02-06,,,,,,,
